Sweep	Chain_1	Chain_2	Chain_3	
42962	-3524.711723261	-3538.982331905	-3524.797901652	
42963	-3524.711723261	-3538.982331905	-3524.797901652	
42964	-3524.608834436	-3524.522733555	-3538.57530776	
42965	-3524.522733555	-3524.608834436	-3538.57530776	
42966	-3524.608834436	-3524.522733555	-3538.57530776	
42967	-3524.608834436	-3524.522733555	-3538.57530776	
42968	-3520.160572651	-3528.770070111	-3538.57530776	
42969	-3523.355578049	-3526.658912886	-3547.125828851	
42970	-3523.355578049	-3526.658912886	-3547.125828851	
42971	-3520.189960736	-3522.771049029	-3541.804015009	
42972	-3520.189960736	-3535.000688524	-3534.687644055	
42973	-3522.771049029	-3526.794049256	-3530.936365108	
42974	-3522.771049029	-3526.794049256	-3530.936365108	
42975	-3520.189960736	-3529.899152931	-3530.936365108	
42976	-3520.189960736	-3524.271256651	-3529.109360071	
42977	-3523.278963917	-3527.618966008	-3536.61005817	
42978	-3523.278963917	-3527.618966008	-3536.61005817	
42979	-3520.189960736	-3535.015501263	-3533.958464683	
42980	-3520.189960736	-3523.437773412	-3542.003822574	
42981	-3520.188986744	-3523.274836636	-3541.023454233	
42982	-3520.188986744	-3520.188986744	-3533.025874442	
42983	-3520.188986744	-3520.188986744	-3533.025874442	
42984	-3520.884625536	-3520.884625536	-3535.769782615	
42985	-3520.884625536	-3520.884625536	-3540.456331328	
42986	-3520.884625536	-3520.884625536	-3531.47708564	
42987	-3520.884625536	-3524.091267483	-3531.766297017	
42988	-3520.163659476	-3522.978513272	-3529.865521715	
42989	-3524.534670732	-3520.163659476	-3537.604255793	
42990	-3520.269565168	-3520.269565168	-3524.467778628	
42991	-3520.269565168	-3528.163244381	-3526.431070555	
42992	-3520.167838243	-3522.756592199	-3548.17611991	
42993	-3520.674701508	-3522.932124363	-3545.981978581	
42994	-3522.932124363	-3524.716110164	-3540.284621796	
42995	-3520.674701508	-3526.690549348	-3540.284621796	
42996	-3520.428351925	-3527.516300172	-3542.231094939	
42997	-3527.968768106	-3531.566918635	-3533.23746273	
42998	-3531.566918635	-3527.968768106	-3533.23746273	
42999	-3526.376786945	-3530.391196458	-3531.840428456	
43000	-3520.379654504	-3530.394207046	-3531.843574196	
43001	-3520.379654504	-3531.843574196	-3530.394207046	
43002	-3520.191930431	-3530.546443259	-3531.998017769	
43003	-3520.482753889	-3531.833721486	-3530.385201308	
43004	-3524.174373378	-3520.482753889	-3530.998666032	
43005	-3520.950246649	-3525.331979432	-3533.536176937	
43006	-3520.950246649	-3524.409638581	-3538.201348226	
43007	-3520.609397934	-3520.609397934	-3537.020932218	
43008	-3520.156248032	-3520.156248032	-3535.194257259	
43009	-3520.787665955	-3520.787665955	-3537.471692319	
43010	-3522.551941514	-3531.63055984	-3539.990605187	
43011	-3522.551941514	-3526.21476545	-3535.715840393	
43012	-3527.284002802	-3523.420416306	-3537.187343822	
43013	-3522.013223493	-3525.543379675	-3534.77843713	
43014	-3522.013223493	-3525.543379675	-3534.77843713	
43015	-3522.013223493	-3530.566165536	-3546.172181899	
43016	-3525.887589165	-3524.495946265	-3543.993666812	
43017	-3520.584685214	-3520.584685214	-3528.314361467	
43018	-3520.584685214	-3523.679652384	-3529.144454598	
43019	-3520.162575374	-3520.162575374	-3531.356971638	
43020	-3520.410279128	-3520.410279128	-3532.440865381	
43021	-3520.410279128	-3520.410279128	-3532.440865381	
43022	-3520.410279128	-3536.054865857	-3532.056022689	
43023	-3520.410279128	-3532.056022689	-3536.054865857	
43024	-3520.227899325	-3530.804261473	-3534.4452802	
43025	-3520.227899325	-3530.804261473	-3534.4452802	
43026	-3526.930296855	-3534.108329689	-3532.00071146	
43027	-3520.227899325	-3525.495543639	-3537.859378426	
43028	-3520.227899325	-3520.227899325	-3537.062325589	
43029	-3520.409830863	-3520.409830863	-3536.779682618	
43030	-3520.409830863	-3520.409830863	-3536.779682618	
43031	-3520.434091881	-3527.533459325	-3543.198427441	
43032	-3527.533459325	-3520.434091881	-3543.198427441	
43033	-3520.434091881	-3527.533459325	-3543.198427441	
43034	-3520.434091881	-3527.533459325	-3543.198427441	
43035	-3522.948126997	-3528.254381971	-3541.126603332	
43036	-3520.157002625	-3530.761800505	-3527.877529971	
43037	-3520.414229939	-3530.344978405	-3527.684031991	
43038	-3520.414229939	-3527.684031991	-3530.344978405	
43039	-3520.414229939	-3527.684031991	-3530.344978405	
43040	-3520.414229939	-3530.370117788	-3536.8414188	
43041	-3523.106636912	-3539.289058188	-3546.793036582	
43042	-3523.106636912	-3539.289058188	-3546.793036582	
43043	-3522.753323806	-3538.271554653	-3545.443173696	
43044	-3529.884401184	-3520.166784018	-3540.946718421	
43045	-3520.166784018	-3527.300014098	-3543.278498514	
43046	-3520.462825129	-3527.050159994	-3537.53367907	
43047	-3520.909001023	-3527.271317789	-3537.413745245	
43048	-3524.565705251	-3524.494116794	-3543.412872733	
43049	-3524.565705251	-3524.832032748	-3536.878850027	
43050	-3520.909001023	-3536.282862286	-3543.646557471	
43051	-3520.909001023	-3536.282862286	-3543.646557471	
43052	-3520.909001023	-3530.84684224	-3523.074041674	
43053	-3520.585776819	-3532.509415825	-3523.403083923	
43054	-3521.117663297	-3524.121400996	-3533.603854251	
43055	-3520.755550341	-3522.952362553	-3530.791218689	
43056	-3522.994163532	-3525.64461228	-3536.295891081	
43057	-3520.755550341	-3526.792183464	-3530.591116234	
43058	-3520.755550341	-3526.792183464	-3530.591116234	
43059	-3520.295501345	-3529.186590182	-3531.481827672	
43060	-3524.519681539	-3530.440331601	-3527.03038566	
43061	-3522.718273151	-3527.285694983	-3537.238784998	
43062	-3520.157895156	-3527.528052199	-3533.540215885	
43063	-3520.157895156	-3527.528052199	-3533.540215885	
43064	-3520.157895156	-3533.163244562	-3526.748618544	
43065	-3521.049588956	-3538.905653529	-3537.997545226	
43066	-3520.617021413	-3536.951380457	-3537.858876471	
43067	-3520.157236535	-3535.078238753	-3535.983348512	
43068	-3520.157236535	-3535.078238753	-3535.983348512	
43069	-3520.157236535	-3527.388714909	-3528.669040623	
43070	-3520.180529905	-3526.990915853	-3527.589537371	
43071	-3520.20895567	-3527.686786395	-3527.087991056	
43072	-3520.183422634	-3531.915768248	-3531.135973923	
43073	-3520.183422634	-3531.135973923	-3531.915768248	
43074	-3520.211368433	-3530.634584435	-3531.412946836	
43075	-3522.830800155	-3522.872631587	-3530.778307081	
43076	-3524.591188931	-3530.453362751	-3537.044657299	
43077	-3524.591188931	-3537.044657299	-3530.453362751	
43078	-3524.532257498	-3530.442990428	-3537.083384644	
43079	-3524.430428393	-3530.409439011	-3537.083384644	
43080	-3520.511226677	-3523.047714149	-3530.3000898	
43081	-3520.511226677	-3523.047714149	-3530.3000898	
43082	-3523.047714149	-3520.511226677	-3530.3000898	
43083	-3520.227863309	-3520.227863309	-3545.75553135	
43084	-3520.283797403	-3520.283797403	-3546.117177474	
43085	-3523.614517951	-3523.614517951	-3541.757078192	
43086	-3520.636802815	-3524.905409323	-3536.59097429	
43087	-3521.120268719	-3532.966709834	-3524.166927719	
43088	-3520.172686484	-3522.770599885	-3530.664392522	
43089	-3531.061594022	-3527.093774811	-3523.395171478	
43090	-3523.395171478	-3527.093774811	-3531.061594022	
43091	-3520.172686484	-3523.395171478	-3527.447725052	
43092	-3520.172686484	-3520.172686484	-3545.029266819	
43093	-3520.611208582	-3520.611208582	-3547.389473325	
43094	-3520.319547416	-3523.048347656	-3540.810971773	
43095	-3520.319547416	-3524.641024365	-3556.78235593	
43096	-3520.319547416	-3524.641024365	-3556.78235593	
43097	-3520.186854508	-3524.240289954	-3554.490748441	
43098	-3520.186854508	-3527.023085536	-3540.429255933	
43099	-3520.199812738	-3531.132993858	-3546.810579566	
43100	-3522.634045535	-3526.509510333	-3536.078598763	
43101	-3520.156261965	-3537.654932028	-3540.376568199	
43102	-3520.156261965	-3537.654932028	-3540.376568199	
43103	-3520.438103224	-3538.169329926	-3544.818819117	
43104	-3520.55712182	-3545.158494884	-3538.506965265	
43105	-3520.504603392	-3537.057884037	-3535.187330462	
43106	-3520.504603392	-3535.187330462	-3537.057884037	
43107	-3520.504603392	-3535.187330462	-3537.057884037	
43108	-3520.504603392	-3535.254537867	-3526.797292626	
43109	-3520.790993585	-3526.935345569	-3535.169871373	
43110	-3528.093870692	-3520.637601327	-3538.297392843	
43111	-3520.637601327	-3536.693488174	-3532.440611413	
43112	-3520.599403641	-3536.206515774	-3544.675081479	
43113	-3520.599403641	-3531.617945073	-3538.416232886	
43114	-3521.122263406	-3531.012112276	-3539.653007839	
43115	-3524.475998914	-3521.122263406	-3531.020304192	
43116	-3524.252304964	-3524.980624875	-3528.534246122	
43117	-3524.252304964	-3524.980624875	-3528.534246122	
43118	-3524.252304964	-3528.534246122	-3524.980624875	
43119	-3520.181044781	-3530.174833286	-3533.943025954	
43120	-3520.162661644	-3522.697363552	-3540.450151756	
43121	-3520.162661644	-3522.697363552	-3540.450151756	
43122	-3522.697363552	-3520.162661644	-3540.450151756	
43123	-3524.23876347	-3523.045074485	-3531.511464072	
43124	-3520.317524089	-3527.342256198	-3531.511464072	
43125	-3520.317524089	-3533.404174787	-3532.68957102	
43126	-3520.407121969	-3531.587247457	-3532.298879026	
43127	-3522.743881428	-3524.329914466	-3545.382881744	
43128	-3520.407121969	-3528.283632783	-3534.908355155	
43129	-3523.800925006	-3534.571159396	-3525.71381988	
43130	-3523.310177968	-3520.520659041	-3534.352272653	
43131	-3520.198444002	-3535.319513376	-3546.433719502	
43132	-3520.159292947	-3537.274236279	-3543.983918764	
43133	-3520.160872163	-3537.455201558	-3544.225433466	
43134	-3520.160872163	-3529.947453025	-3547.425527288	
43135	-3520.156913258	-3536.950751407	-3533.286561647	
43136	-3523.22273914	-3537.422138968	-3525.718666451	
43137	-3520.336628922	-3528.13907779	-3537.763828127	
43138	-3520.336628922	-3533.102262417	-3542.441888614	
43139	-3524.869735723	-3527.812289071	-3534.376423835	
43140	-3524.749439024	-3527.64450442	-3534.15988216	
43141	-3520.26429584	-3523.581086828	-3541.948833118	
43142	-3520.328404543	-3523.320633989	-3540.36729004	
43143	-3520.328404543	-3523.320633989	-3540.36729004	
43144	-3524.316873748	-3532.691400391	-3545.119160024	
43145	-3522.866931557	-3535.77437862	-3532.158560869	
43146	-3522.866931557	-3535.77437862	-3532.158560869	
43147	-3525.933056776	-3532.825290543	-3540.019192553	
43148	-3522.866931557	-3520.215741611	-3540.305580262	
43149	-3520.31261486	-3523.037104254	-3537.146983638	
43150	-3520.200784354	-3524.71534637	-3532.521165671	
43151	-3526.749407785	-3524.602564069	-3547.36618881	
43152	-3524.446469358	-3526.649313224	-3547.36618881	
43153	-3520.15950565	-3523.918594093	-3544.033110649	
43154	-3520.172876904	-3523.121678367	-3550.843850334	
43155	-3520.187286033	-3523.272858564	-3551.699636755	
43156	-3521.789705558	-3531.563195859	-3554.560468746	
43157	-3521.394407374	-3523.521806398	-3533.050159658	
43158	-3520.601747644	-3534.377798234	-3531.162430339	
43159	-3523.425612153	-3525.884359286	-3544.274707896	
43160	-3525.119118338	-3522.666020926	-3541.9229557	
43161	-3522.666020926	-3525.119118338	-3541.9229557	
43162	-3520.156093909	-3527.901785026	-3529.387684406	
43163	-3520.156093909	-3529.138211429	-3530.775775293	
43164	-3520.156093909	-3530.775775293	-3529.138211429	
43165	-3520.156093909	-3529.138211429	-3530.775775293	
43166	-3520.156093909	-3529.19084467	-3535.915974536	
43167	-3522.662596481	-3534.426367763	-3533.23942497	
43168	-3523.282845492	-3534.421610746	-3535.881367363	
43169	-3528.485382091	-3529.61290223	-3538.383547678	
43170	-3525.126296052	-3525.75863594	-3542.006289272	
43171	-3527.316029244	-3533.476720578	-3538.63110107	
43172	-3527.316029244	-3533.476720578	-3538.63110107	
43173	-3520.201151987	-3529.414866711	-3533.777940402	
43174	-3523.884826585	-3530.976011299	-3540.893747569	
43175	-3522.958485844	-3529.764733943	-3538.843565367	
43176	-3522.958485844	-3529.764733943	-3538.843565367	
43177	-3520.290427759	-3532.721201669	-3545.89718906	
43178	-3520.272914195	-3532.666933986	-3545.794039676	
43179	-3520.272914195	-3527.135895082	-3539.85543984	
43180	-3520.272914195	-3526.853793518	-3536.807459506	
43181	-3520.393218494	-3527.119900314	-3537.221356646	
43182	-3520.393218494	-3527.119900314	-3537.221356646	
43183	-3520.393218494	-3520.393218494	-3523.163773453	
43184	-3520.522999457	-3539.187685057	-3523.591621359	
43185	-3520.522999457	-3535.159496966	-3548.540772736	
43186	-3520.522999457	-3535.159496966	-3548.540772736	
43187	-3523.981249379	-3527.670979121	-3559.679879697	
43188	-3523.449593998	-3526.934808724	-3557.899228763	
43189	-3523.284440445	-3526.631795972	-3556.886114487	
43190	-3523.284440445	-3526.631795972	-3556.886114487	
43191	-3523.284440445	-3526.631795972	-3556.886114487	
43192	-3524.044950765	-3524.461139294	-3547.601098298	
43193	-3524.036297142	-3520.218641231	-3541.786260017	
43194	-3520.218641231	-3530.878574341	-3524.441717874	
