Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
2369	2	2	1	2
2384	3	2	1	3
2385	3	1	1	3
2393	3	5	2	1
2394	3	2	1	2
2395	3	1	2	1
2397	3	2	1	2
2398	3	5	1	2
2399	2	2	1	2
2400	3	1	2	1
2401	3	1	1	2
2402	1	1	2	1
2410	2	2	2	1
2413	1	1	1	2
2415	3	1	1	2
2416	1	1	2	1
2421	2	2	1	3
2424	2	2	1	2
2426	2	2	2	1
2427	2	2	2	1
2428	3	2	1	2
2431	1	1	2	1
2433	3	4	1	2
2435	2	2	1	2
2441	2	2	3	2
2446	3	1	1	2
2449	2	2	1	2
2450	3	2	2	1
2451	1	1	1	2
2452	3	1	1	2
2453	1	1	2	1
2454	1	1	2	1
2455	3	4	1	2
2458	2	2	2	1
2460	3	4	1	2
2463	2	2	1	3
2469	2	2	1	2
2470	3	2	1	2
2478	3	1	2	1
2480	3	1	1	2
2485	3	4	2	1
2489	2	2	1	2
2491	3	4	2	1
2492	3	1	1	2
2493	3	1	2	1
2498	3	2	1	2
2500	2	2	1	3
2501	2	2	3	1
2502	1	1	1	2
2503	3	5	1	2
2506	2	2	1	2
2514	2	2	2	1
2515	3	2	1	2
2516	3	2	1	2
2523	1	1	1	3
2524	2	2	1	2
2530	3	1	1	2
2531	3	2	1	2
2534	2	2	1	2
2536	1	1	2	1
2537	2	2	2	1
2544	3	2	1	3
2552	1	1	2	1
2555	2	2	1	2
2556	2	2	1	2
2557	1	1	1	2
2558	3	5	2	1
2559	3	4	1	2
2560	2	2	2	1
2561	1	1	2	1
2562	1	1	1	2
2564	1	1	2	1
2565	3	2	2	1
2569	3	2	1	3
2576	2	2	1	2
2581	2	2	2	1
2582	1	1	2	1
2594	2	2	1	2
2595	2	2	2	1
2596	1	1	2	1
2601	1	1	2	1
2603	3	5	1	2
2612	3	2	1	2
2614	2	2	1	3
2616	1	1	1	2
2617	1	1	1	2
2621	3	1	1	2
2622	3	1	1	2
2623	3	2	1	3
2626	1	1	1	2
2635	2	2	1	2
2636	1	1	2	1
2642	2	2	1	3
2644	1	1	1	2
2645	1	1	1	2
2654	1	1	1	2
2659	1	1	1	3
2663	3	1	1	2
2667	3	2	1	2
2668	1	1	2	1
2669	3	5	2	1
2673	1	1	1	2
2682	3	4	1	3
2683	3	1	1	2
2684	3	2	1	2
2688	3	1	1	3
2690	2	2	1	2
2692	3	1	2	1
2693	1	1	1	2
2695	2	2	2	1
2696	3	1	2	1
2697	3	2	2	3
2698	1	1	2	3
2699	2	2	2	1
2701	3	4	2	1
2704	2	2	1	2
2706	1	1	2	1
2710	3	1	1	2
2712	1	1	2	1
2715	3	4	2	1
2718	3	1	2	1
2722	2	2	1	2
2723	2	2	1	2
2724	3	1	1	2
2726	2	2	1	2
2728	3	2	2	1
2733	2	2	1	2
2736	2	2	1	3
2738	3	2	1	2
2741	1	1	1	2
2742	1	1	1	2
2745	2	2	1	2
2746	3	1	1	2
2763	1	1	2	1
2767	1	1	1	2
2768	3	1	1	2
2769	1	1	1	2
2774	3	2	1	2
2775	2	2	2	1
2776	1	1	1	2
2777	1	1	2	1
2778	3	1	2	1
2779	2	2	2	1
2780	2	2	2	1
2781	2	2	2	1
2782	3	1	2	1
2783	3	2	1	2
2784	2	2	1	2
2785	2	2	1	2
2786	2	2	1	2
2793	3	1	1	2
2800	1	1	1	3
2801	2	2	1	3
2806	2	2	2	1
2808	3	2	3	1
2812	3	2	2	1
2814	3	1	1	3
2817	3	2	1	2
2819	3	5	1	2
2821	3	1	1	2
2827	1	1	2	1
2829	1	1	1	3
2830	3	2	1	2
2838	1	1	1	3
2839	2	2	1	2
2844	1	1	1	2
2845	1	1	1	2
2846	1	1	1	2
2848	1	1	1	2
2851	2	2	2	1
2854	1	1	1	2
2856	1	1	1	2
2857	3	2	1	2
2858	3	2	2	1
2863	2	2	1	2
2872	1	1	1	3
